# pack	reading	output	dataset	category
geography	an'ma'shan'dong'bei'feng'lu'xian	鞍馬山東北峰路線	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'mei	安美	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'nan	安南	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'nan'qu	安南區	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'ping	安平	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'ping'cheng	安平城	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'ping'ding	安平頂	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'ping'gang'guo'jia'li'shi'feng'jing'qu	安平港國家歷史風景區	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'ping'gu'bao	安平古堡	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'ping'hou	安平後	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'ping'keng	安平坑	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'ping'qu	安平區	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'ping'shu'wu	安平樹屋	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'ping'xiao'pao'tai	安平小砲臺	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'ping'zhen	安平鎮	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'po	安坡	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'po'shan'deng'shan'kou	安坡山登山口	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'po'shan'deng'shan'lu'xian	安坡山登山路線	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'qi	安岐	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'qian	庵前	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'shan	暗山	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'shan	案山	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'shan'xia'shui'dao	案山下水道	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'shan'yu'gang	案山漁港	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'shang	岸上	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'shun	安順	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'shun'wu'liu'chi	安順烏鰡池	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'shuo	安朔	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'tan	暗潭	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'teng	安藤	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'tian'zhuang	安田莊	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'tong	安通	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'tong'diao'qiao	安通吊橋	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'tong'shan'lu'xian	安通山路線	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'tong'yue'ling'dao	安通越嶺道	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'tong'yue'ling'dao'qi'dian'ru'kou	安通越嶺道起點入口	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'tong'yue'ling'dao'zhi'shi'pai	安通越嶺道指示牌	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'tou	岸頭	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'tou'shan	岸頭山	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'tu'jue'shan'bei	安土堀山北	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'wo	暗窩	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'wu'suo'dao'fa'song'dian	暗霧索道發送點	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'wu'suo'dao'zhuo'di'dian	暗霧索道著地點	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'wu'wo	安屋窩	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'ye	安業	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'ying	暗影	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'ying'shan'bu'dao	暗影山步道	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'ying'shan'deng'shan'kou	暗影山登山口	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'ying'shan'dong'bei'leng'bu'dao	暗影山東北稜步道	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'ying'shan'dong'nan'leng'bu'dao	暗影山東南稜步道	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'ying'shan'nan'leng'bu'dao	暗影山南稜步道	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'ying'shan'xi'bei'leng'bu'dao	暗影山西北稜步道	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'zhao	安招	rudy-2026.09.03:mcbopomofo-derived	geography_history
geography	an'zhu	安住	rudy-2026.09.03:mcbopomofo-derived	geography_history
