# kind	reading	output	frequency_rank	source
kanji	ke'n	研	336	kanjidic:U7814
kanji	ke'n	見	22	kanjidic:U898B
kanji	ke'n	間	33	kanjidic:U9593
kanji	ke'n	験	410	kanjidic:U9A13
kanji	ke'tsu	決	71	kanjidic:U6C7A
kanji	ke'tsu	結	162	kanjidic:U7D50
kanji	ki	企	278	kanjidic:U4F01
kanji	ki	基	241	kanjidic:U57FA
kanji	ki	期	117	kanjidic:U671F
kanji	ki	木	317	kanjidic:U6728
kanji	ki	来	102	kanjidic:U6765
kanji	ki	機	127	kanjidic:U6A5F
kanji	ki	気	113	kanjidic:U6C17
kanji	ki	生	29	kanjidic:U751F
kanji	ki	規	349	kanjidic:U898F
kanji	ki	記	149	kanjidic:U8A18
kanji	ki	起	374	kanjidic:U8D77
kanji	ki'n	京	74	kanjidic:U4EAC
kanji	ki'n	今	49	kanjidic:U4ECA
kanji	ki'n	経	79	kanjidic:U7D4C
kanji	ki'n	近	194	kanjidic:U8FD1
kanji	ki'n	金	53	kanjidic:U91D1
kanji	ki'ta	北	153	kanjidic:U5317
kanji	ki'wa	際	183	kanjidic:U969B
kanji	ko	個	451	kanjidic:U500B
kanji	ko	去	440	kanjidic:U53BB
kanji	ko	呼	498	kanjidic:U547C
kanji	ko	子	72	kanjidic:U5B50
kanji	ko	来	102	kanjidic:U6765
kanji	ko'e	声	388	kanjidic:U58F0
kanji	ko'ko'no	九	55	kanjidic:U4E5D
kanji	ko'ko'ro	心	157	kanjidic:U5FC3
kanji	ko'ku	可	314	kanjidic:U53EF
kanji	ko'ku	告	188	kanjidic:U544A
kanji	ko'ku	国	3	kanjidic:U56FD
kanji	ko'ku	石	342	kanjidic:U77F3
kanji	ko'me	米	61	kanjidic:U7C73
kanji	ko'mo'go'mo	交	178	kanjidic:U4EA4
kanji	ko'n	今	49	kanjidic:U4ECA
kanji	ko'n	建	300	kanjidic:U5EFA
kanji	ko'n	近	194	kanjidic:U8FD1
kanji	ko'n	金	53	kanjidic:U91D1
kanji	ko'to	事	18	kanjidic:U4E8B
kanji	ko'to	言	83	kanjidic:U8A00
kanji	ko'to'wa'ri	理	86	kanjidic:U7406
kanji	ko'u	交	178	kanjidic:U4EA4
kanji	ko'u	公	118	kanjidic:U516C
kanji	ko'u	区	137	kanjidic:U533A
kanji	ko'u	口	284	kanjidic:U53E3
kanji	ko'u	向	182	kanjidic:U5411
kanji	ko'u	好	423	kanjidic:U597D
kanji	ko'u	岡	463	kanjidic:U5CA1
kanji	ko'u	工	299	kanjidic:U5DE5
kanji	ko'u	広	263	kanjidic:U5E83
kanji	ko'u	後	26	kanjidic:U5F8C
kanji	ko'u	校	294	kanjidic:U6821
kanji	ko'u	格	281	kanjidic:U683C
kanji	ko'u	構	316	kanjidic:U69CB
kanji	ko'u	港	495	kanjidic:U6E2F
kanji	ko'u	確	252	kanjidic:U78BA
kanji	ko'u	続	141	kanjidic:U7D9A
kanji	ko'u	考	196	kanjidic:U8003
kanji	ko'u	行	20	kanjidic:U884C
kanji	ko'u	高	65	kanjidic:U9AD8
kanji	ku	九	55	kanjidic:U4E5D
kanji	ku	供	313	kanjidic:U4F9B
kanji	ku	公	118	kanjidic:U516C
kanji	ku	区	137	kanjidic:U533A
kanji	ku	口	284	kanjidic:U53E3
kanji	ku	宮	367	kanjidic:U5BAE
kanji	ku	工	299	kanjidic:U5DE5
kanji	ku	究	368	kanjidic:U7A76
kanji	ku'bi	首	98	kanjidic:U9996
kanji	ku'chi	口	284	kanjidic:U53E3
kanji	ku'da'n	件	212	kanjidic:U4EF6
