cha	ㄔㄚ	㗬	0.0	ㄔㄚˉ
xi	ㄒㄧ	㗭	0.0	ㄒㄧˉ
cong	ㄘㄨㄥˊ	㗰	0.0	ㄘㄨㄥˊ
ji	ㄐㄧˊ	㗱	0.0	ㄐㄧˊ
hua	ㄏㄨㄚˋ	㗲	0.0	ㄏㄨㄚˋ
huo	ㄏㄨㄛˋ	㗲	0.0	ㄏㄨㄛˋ
da	ㄉㄚ	㗳	0.0	ㄉㄚˉ
ta	ㄊㄚˇ	㗳	0.0	ㄊㄚˇ
ta	ㄊㄚˋ	㗳	0.0	ㄊㄚˋ
yan	ㄧㄢˊ	㗴	0.0	ㄧㄢˊ
po	ㄆㄛ	㗶	0.0	ㄆㄛˉ
guo	ㄍㄨㄛ	㗻	0.0	ㄍㄨㄛˉ
he	ㄏㄜˊ	㗻	0.0	ㄏㄜˊ
xiang	ㄒㄧㄤˇ	㗽	0.0	ㄒㄧㄤˇ
xue	ㄒㄩㄝ	㗾	0.0	ㄒㄩㄝˉ
he	ㄏㄜ	㗿	0.0	ㄏㄜˉ
he	ㄏㄜˇ	㗿	0.0	ㄏㄜˇ
qie	ㄑㄧㄝˋ	㗿	0.0	ㄑㄧㄝˋ
xia	ㄒㄧㄚ	㗿	0.0	ㄒㄧㄚˉ
xia	ㄒㄧㄚˋ	㗿	0.0	ㄒㄧㄚˋ
yi	ㄧˋ	㘁	0.0	ㄧˋ
ci	ㄘˊ	㘂	0.0	ㄘˊ
xian	ㄒㄧㄢˊ	㘅	0.0	ㄒㄧㄢˊ
tai	ㄊㄞˊ	㘆	0.0	ㄊㄞˊ
jie	ㄐㄧㄝˊ	㘉	0.0	ㄐㄧㄝˊ
xian	ㄒㄧㄢˊ	㘋	0.0	ㄒㄧㄢˊ
ji	ㄐㄧˊ	㘍	0.0	ㄐㄧˊ
pao	ㄆㄠˋ	㘐	0.0	ㄆㄠˋ
lan	ㄌㄢˊ	㘓	0.0	ㄌㄢˊ
sai	ㄙㄞ	㘔	0.0	ㄙㄞˉ
sai	ㄙㄞˇ	㘔	0.0	ㄙㄞˇ
sai	ㄙㄞˊ	㘔	0.0	ㄙㄞˊ
han	ㄏㄢˇ	㘚	0.0	ㄏㄢˇ
kan	ㄎㄢ	㘛	0.0	ㄎㄢˉ
chou	ㄔㄡˊ	㘜	0.0	ㄔㄡˊ
ni	ㄋㄧˋ	㘝	0.0	ㄋㄧˋ
duo	ㄉㄨㄛˋ	㘞	0.0	ㄉㄨㄛˋ
huo	ㄏㄨㄛˋ	㘞	0.0	ㄏㄨㄛˋ
chuang	ㄔㄨㄤ	㘟	0.0	ㄔㄨㄤˉ
bi	ㄅㄧ	㘠	0.0	ㄅㄧˉ
jia	ㄐㄧㄚˇ	㘡	0.0	ㄐㄧㄚˇ
xia	ㄒㄧㄚˊ	㘡	0.0	ㄒㄧㄚˊ
weng	ㄨㄥˇ	㘢	0.0	ㄨㄥˇ
xuan	ㄒㄩㄢ	㘣	0.0	ㄒㄩㄢˉ
e	ㄜˊ	㘥	0.0	ㄜˊ
you	ㄧㄡˊ	㘥	0.0	ㄧㄡˊ
qin	ㄑㄧㄣˊ	㘦	0.0	ㄑㄧㄣˊ
xu	ㄒㄩˋ	㘧	0.0	ㄒㄩˋ
hao	ㄏㄠˋ	㘪	0.0	ㄏㄠˋ
jing	ㄐㄧㄥˋ	㘫	0.0	ㄐㄧㄥˋ
bi	ㄅㄧˋ	㘬	0.0	ㄅㄧˋ
fo	ㄈㄛˊ	㘬	0.0	ㄈㄛˊ
fu	ㄈㄨˊ	㘬	0.0	ㄈㄨˊ
ao	ㄠ	㘬	0.0	ㄠˉ
ao	ㄠˋ	㘬	0.0	ㄠˋ
wu	ㄨˋ	㘬	0.0	ㄨˋ
huan	ㄏㄨㄢˋ	㘭	0.0	ㄏㄨㄢˋ
ao	ㄠ	㘭	0.0	ㄠˉ
ao	ㄠˋ	㘭	0.0	ㄠˋ
chang	ㄔㄤˇ	㘯	0.0	ㄔㄤˇ
chang	ㄔㄤˊ	㘯	0.0	ㄔㄤˊ
zhen	ㄓㄣ	㘰	0.0	ㄓㄣˉ
ju	ㄐㄩˊ	㘲	0.0	ㄐㄩˊ
zuo	ㄗㄨㄛˋ	㘴	0.0	ㄗㄨㄛˋ
